path,exists,size,WorkflowState,WF_dataclass,WF_feature_dict,WF_update_state_from_event,WF_apply_event_log,WF_timers_alerts,Bootstrap/CONFIG,UI_present,UI_type,QR_present,QR_impl,Troponin_rules,Troponin_tests,SOP_registry,PDF_seed,Equipment_status,Equipment_moves,TinyCritics,TinyCritics_uses_feature_dict,TinyCritics_isotonic,Runner_guard,Uses_Constraints,Uses_ActionSpec,Uses_replay,Phase2_ICU,Phase2_AgentMesh,Phase2_TrainerLoops
/mnt/data/ED_Pipeline_v5.6.2_canonical.ipynb,True,266430,True,True,True,True,False,False,True,False,,True,qrcode,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True
/mnt/data/ed-pathway-trainer-v3-3-full.ipynb,True,37534,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
/mnt/data/ED_Pipeline_v4_KaggleFix(1).ipynb,True,121219,True,True,False,True,False,False,False,False,,True,qrcode,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True
/mnt/data/ed-pathway-trainer-end-to-end-loop-train-ready(2).ipynb,True,114311,False,True,False,False,False,True,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
/mnt/data/modeling-icu-constraints-in-ed-pipeline_PRFIXED.ipynb,True,53372,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
/mnt/data/baseline-first-real-data-ready-scaffold(4)_PRFIXED.ipynb,True,43672,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
/mnt/data/ed-agent-mesh-pipeline-day6_v2.ipynb,True,33073,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
/mnt/data/ed-ops-pipeline-v2b.ipynb,True,119202,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
/mnt/data/ed-agent-mesh-scaffold-full_with_icuj_and_enricher.ipynb,True,65419,False,True,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
